,protocol,dst_addr,src_port,dst_port,forward_addr,app_name
1,tcp,43.137.155.175,60624,80,10.177.71.215,微信消息
40,tcp,220.246.254.81,58695,58991,10.177.71.215,HTTPS
114,tcp,43.137.155.175,60660,80,10.177.71.215,微信消息
131,tcp,220.246.254.81,56409,58991,10.177.71.215,HTTPS
148,tcp,106.180.225.76,60713,23153,10.177.71.215,HTTPS
226,tcp,43.137.155.175,60707,80,10.177.71.215,微信消息
259,tcp,106.180.225.76,59083,23153,10.177.71.215,HTTPS
261,tcp,106.180.225.76,59903,23153,10.177.71.215,HTTPS
292,tcp,43.137.191.78,60721,80,10.177.71.215,微信消息
294,tcp,106.180.225.76,59071,23153,10.177.71.215,HTTPS
315,tcp,43.137.155.175,60731,80,10.177.71.215,微信消息
345,tcp,124.236.26.166,58291,443,10.177.71.215,SSL
348,tcp,124.236.26.170,59918,443,10.177.71.215,SSL
353,tcp,106.180.225.76,60758,23153,10.177.71.215,HTTPS
396,tcp,43.137.155.175,60752,80,10.177.71.215,微信消息
408,tcp,43.137.155.175,60753,80,10.177.71.215,微信消息
491,tcp,43.137.155.175,60776,80,10.177.71.215,微信消息
497,tcp,106.180.225.76,60800,23153,10.177.71.215,HTTPS
547,tcp,43.137.155.175,60797,80,10.177.71.215,微信消息
563,tcp,18.164.174.79,58779,443,10.177.71.215,HTTPS
625,tcp,43.137.155.175,60819,80,10.177.71.215,微信消息
642,tcp,106.180.225.76,60843,23153,10.177.71.215,HTTPS
707,tcp,43.137.155.175,60840,80,10.177.71.215,微信消息
767,tcp,43.137.155.175,60864,80,10.177.71.215,微信消息
793,tcp,106.180.225.76,60886,23153,10.177.71.215,HTTPS
853,tcp,43.137.155.175,60884,80,10.177.71.215,微信消息
917,tcp,43.137.155.175,60906,80,10.177.71.215,微信消息
924,tcp,106.180.225.76,60930,23153,10.177.71.215,HTTPS
935,tcp,106.180.225.76,60622,23153,10.177.71.215,HTTPS
939,tcp,106.180.225.76,60621,23153,10.177.71.215,HTTPS
983,tcp,43.137.155.175,60926,80,10.177.71.215,微信消息
988,tcp,106.180.225.76,60946,23153,10.177.71.215,HTTPS
1054,tcp,43.137.155.175,60948,80,10.177.71.215,微信消息
1076,tcp,106.180.225.76,60975,23153,10.177.71.215,HTTPS
1115,tcp,43.137.155.175,60970,80,10.177.71.215,微信消息
1179,tcp,43.137.155.175,60993,80,10.177.71.215,微信消息
1189,tcp,106.180.225.76,61020,23153,10.177.71.215,HTTPS
1236,tcp,43.137.155.175,61014,80,10.177.71.215,微信消息
1307,tcp,43.137.155.175,61034,80,10.177.71.215,微信消息
1311,tcp,43.137.155.175,61051,80,10.177.71.215,微信消息
1334,tcp,106.180.225.76,61057,23153,10.177.71.215,HTTPS
1384,udp,61.129.42.6,40867,53,10.177.71.215,DNS
1389,udp,61.129.42.6,21145,53,10.177.71.215,DNS
1473,tcp,43.137.155.175,61072,80,10.177.71.215,微信消息
1489,tcp,120.53.53.53,61094,443,10.177.71.215,HTTPS
1495,tcp,106.180.225.76,61092,23153,10.177.71.215,HTTPS
1497,tcp,223.5.5.5,61093,443,10.177.71.215,DoH
1501,tcp,223.6.6.6,61095,443,10.177.71.215,DoH
1560,udp,223.5.5.5,51405,53,10.177.71.215,DNS
