,protocol,dst_addr,src_port,dst_port,forward_addr,app_name
72,tcp,34.120.158.37,57953,443,10.177.71.215,火狐通用协议
138,tcp,34.120.158.37,57951,443,10.177.71.215,火狐通用协议
145,udp,202.120.224.26,53839,53,10.177.71.215,DNS
146,udp,202.120.224.26,65079,53,10.177.71.215,DNS
148,udp,202.120.224.26,51447,53,10.177.71.215,DNS
154,tcp,34.120.158.37,57967,443,10.177.71.215,火狐通用协议
155,udp,202.120.224.26,52401,53,10.177.71.215,DNS
160,udp,202.120.224.26,64033,53,10.177.71.215,DNS
172,udp,202.120.224.26,59931,53,10.177.71.215,DNS
182,udp,202.120.224.26,55680,53,10.177.71.215,DNS
189,udp,202.120.224.26,62129,53,10.177.71.215,DNS
194,udp,202.120.224.26,58538,53,10.177.71.215,DNS
209,udp,202.120.224.26,54709,53,10.177.71.215,DNS
217,udp,202.120.224.26,50600,53,10.177.71.215,DNS
220,udp,202.120.224.26,63171,53,10.177.71.215,DNS
230,udp,202.120.224.26,55429,53,10.177.71.215,DNS
234,udp,202.120.224.26,60302,53,10.177.71.215,DNS
236,udp,202.120.224.26,55132,53,10.177.71.215,DNS
237,udp,202.120.224.26,52914,53,10.177.71.215,DNS
239,udp,202.120.224.26,59184,53,10.177.71.215,DNS
252,udp,202.120.224.26,62094,53,10.177.71.215,DNS
264,udp,202.120.224.26,58460,53,10.177.71.215,DNS
282,udp,61.129.42.6,65321,53,10.177.71.215,DNS
284,udp,202.120.224.26,54071,53,10.177.71.215,DNS
289,udp,202.120.224.26,61995,53,10.177.71.215,DNS
294,udp,61.129.42.6,54071,53,10.177.71.215,DNS
306,udp,202.120.224.26,56578,53,10.177.71.215,DNS
315,udp,61.129.42.6,56578,53,10.177.71.215,DNS
317,udp,202.120.224.26,62605,53,10.177.71.215,DNS
322,tcp,54.149.234.21,57936,443,10.177.71.215,火狐通用协议
327,udp,202.120.224.26,65488,53,10.177.71.215,DNS
328,udp,202.120.224.26,65321,53,10.177.71.215,DNS
330,tcp,52.39.48.28,57933,443,10.177.71.215,火狐通用协议
344,udp,202.120.224.26,60781,53,10.177.71.215,DNS
348,udp,202.120.224.26,62422,53,10.177.71.215,DNS
350,udp,202.120.224.26,54717,53,10.177.71.215,DNS
363,udp,202.120.224.26,57587,53,10.177.71.215,DNS
370,udp,202.120.224.26,49577,53,10.177.71.215,DNS
372,udp,202.120.224.26,57992,53,10.177.71.215,DNS
375,udp,202.120.224.26,49683,53,10.177.71.215,DNS
376,udp,202.120.224.26,56760,53,10.177.71.215,DNS
377,udp,202.120.224.26,49362,53,10.177.71.215,DNS
391,udp,202.120.224.26,60348,53,10.177.71.215,DNS
396,udp,202.120.224.26,52912,53,10.177.71.215,DNS
408,tcp,34.120.158.37,58006,443,10.177.71.215,火狐通用协议
